stock,date,buyPrice,numShares,sellPrice,profit
ford,2018-11-19,1.340000033,373.0,1.389999986,18.650000000000034
ford,2018-11-27,2.710000038,751.0,2.759999991,18.650000000000034
ford,2018-11-30,4.070000052,1132.0,4.200000048,49.13000000000005
ford,2018-12-06,5.420000076,1538.0,5.620000005,77.55000000000001
ford,2018-12-11,6.830000043,1947.0,7.060000061999999,89.82
ford,2018-12-13,8.25,2362.0,8.360000013999999,40.02000000000004
ford,2018-12-31,9.539999962,2780.0,9.700000047,60.920000000000016
ford,2019-01-04,10.860000013999999,3204.0,11.070000052,82.12000000000006
ford,2019-01-09,12.230000018999998,3628.0,12.470000028,94.84000000000009
ford,2019-01-16,13.700000047999998,4032.0,13.930000066,90.80000000000013
ford,2019-01-22,15.150000095999998,4439.0,15.400000095,98.94000000000011
ford,2019-01-30,16.610000133999996,4849.0,16.860000133,98.94000000000011
ford,2019-02-08,18.160000085999997,5235.0,18.430000185,106.66000000000014
ford,2019-02-12,19.720000028999998,5623.0,20.090000152,145.4600000000002
ford,2019-02-28,21.340000034,6021.0,21.720000147,149.44000000000023
ford,2019-03-11,22.899999977,6437.0,23.270000099,145.28000000000014
ford,2019-03-15,24.419999958000002,6861.0,24.80000007,149.52000000000015
ford,2019-03-26,25.879999996000002,7305.0,26.270000099,153.9600000000001
ford,2019-03-29,27.360000015,7746.0,27.810000061,180.42000000000013
ford,2019-04-08,28.840000034,8205.0,29.340000032,203.37000000000006
ford,2019-04-11,30.330000044,8677.0,30.860000013,217.53000000000014
ford,2019-04-16,31.870000005999998,9142.0,32.460000037,245.43000000000012
ford,2019-04-23,33.450000048999996,9613.0,33.990000008,221.88000000000017
ford,2019-04-29,34.930000068,10100.0,35.509999989,241.36000000000018
ford,2019-05-01,36.430000068,10594.0,37.009999989,241.36000000000018
ford,2019-05-07,37.910000087,11094.0,38.52999997,261.3600000000002
ford,2019-05-09,39.410000087,11601.0,40.009999989,251.2200000000002
ford,2019-05-15,40.860000135,12119.0,41.28999996,163.16000000000014
ford,2019-06-11,42.080000164,12662.0,42.529999970000006,174.02000000000015
ford,2019-06-20,43.250000121,13238.0,43.69999992700001,174.02000000000015
ford,2019-07-22,44.320000173,13867.0,44.849999903000004,224.3400000000002
ford,2019-07-26,45.430000187,14519.0,45.999999879,250.42000000000013
ford,2019-07-30,46.570000173,15177.0,47.139999865,250.42000000000013
ford,2019-08-02,47.670000197,15859.0,48.25999987,264.0600000000001
ford,2019-08-09,48.73000014,16579.0,49.349999903000004,285.66
ford,2019-08-14,49.830000164000005,17293.0,50.469999908000005,299.94
ford,2019-08-20,50.93000018800001,18020.0,51.58999991300001,314.47999999999996
ford,2019-08-23,52.000000240000006,18781.0,52.669999956000005,322.09
ford,2019-09-03,53.06000018300001,19556.0,53.75999998900001,345.34
ford,2019-09-05,54.130000235000004,20346.0,54.92999994600001,424.34
ford,2019-09-09,55.240000249000005,21178.0,56.079999922000006,457.61999999999995
ford,2019-09-13,56.390000225,22010.0,57.24999987900001,474.26000000000005
ford,2019-09-20,57.51000023,22879.0,58.399999855000004,500.3300000000001
ford,2019-09-24,58.630000235000004,23772.0,59.52999985,509.26000000000016
ford,2019-09-26,59.740000249000005,24681.0,60.649999855000004,518.3500000000001
ford,2019-09-30,60.740000249000005,25699.0,61.699999807000005,569.2500000000002
ford,2019-10-03,61.72000026800001,26790.0,62.749999759000005,645.6200000000001
ford,2019-10-07,62.730000258000004,27924.0,63.76999974,656.9600000000003
ford,2019-10-09,63.750000239,29058.0,64.809999702,679.6400000000001
ford,2019-10-11,64.740000249,30249.0,65.839999673,727.2800000000002
ford,2019-10-15,65.750000239,31464.0,66.89999961599999,788.0300000000002
ford,2019-10-18,66.750000239,32752.0,67.93999957799998,839.5500000000002
ford,2019-10-22,67.730000258,34118.0,69.01999962099998,976.1500000000001
ford,2019-10-25,68.77000022,35537.0,70.08999967299998,1018.72
ford,2019-11-01,69.790000201,37025.0,71.14999961599997,1078.24
ford,2019-11-08,70.830000163,38542.0,72.16999959699997,1047.8999999999999
ford,2019-11-15,71.84000015299999,40074.0,73.17999958699997,1047.8999999999999
ford,2019-11-20,72.830000163,41637.0,74.17999958699997,1063.53
ford,2019-12-04,73.84000015299999,43185.0,75.20999955799996,1094.49
ford,2019-12-09,74.86000013399999,44748.0,76.20999955799996,1063.23
ford,2019-12-13,75.830000163,46359.0,77.21999954799996,1127.6699999999998
ford,2019-12-17,76.820000173,48003.0,78.26999949999995,1226.31
ford,2019-12-24,77.800000192,49764.0,79.26999949999995,1261.53
ford,2020-01-14,78.920000197,51336.0,80.36999952399995,1230.09
ford,2020-02-20,80.01000022999999,52923.0,81.44999956699995,1214.22
ford,2020-02-28,80.980000259,54690.0,82.44999956699995,1267.23
ford,2020-03-04,81.970000269,56475.0,83.44999956699995,1285.08
ford,2020-03-10,82.980000259,58242.0,84.47999953799994,1320.4199999999998
ford,2020-03-18,84.00000023999999,60026.0,85.47999953799994,1284.7399999999998
ford,2020-03-23,84.99000025,61828.0,86.52999948999994,1392.8599999999997
ford,2020-03-26,86.01000023099999,63683.0,87.60999953299994,1504.1599999999999
ford,2020-03-31,87.08000028299999,65556.0,88.72999953799993,1597.8100000000002
ford,2020-04-03,88.18000030699999,67463.0,89.82999956199993,1597.8100000000002
ford,2020-04-09,89.27000033999998,69387.0,90.94999956699992,1655.5300000000004
ford,2020-04-15,90.35000038299998,71382.0,92.05999958099991,1715.3800000000003
ford,2020-04-17,91.40000033499997,73491.0,93.15999960499991,1820.8300000000006
ford,2020-04-21,92.46000027799997,75680.0,94.2599996289999,1908.3900000000006
ford,2020-04-23,93.51000022999996,77973.0,95.2899995999999,1862.5300000000004
ford,2020-04-29,94.54000020099996,80266.0,96.3499995429999,1931.3200000000004
ford,2020-05-12,95.64000022499995,82476.0,97.44999956699989,1931.3200000000004
ford,2020-05-15,96.72000026799995,84727.0,98.53999959999989,1953.8300000000006
ford,2020-05-27,97.88000023499995,86842.0,99.74999963799989,2059.580000000001
ford,2020-06-12,99.12000024499996,88906.0,101.01999961899989,2121.500000000001
ford,2020-06-18,100.45000028799996,90877.0,102.43999957599989,2298.8900000000012
ford,2020-06-23,101.88000023599996,92834.0,103.8299995619999,2220.610000000001
ford,2020-06-26,103.26000023099996,94805.0,105.1199995239999,2043.2200000000012
ford,2020-07-16,104.52000022099996,96823.0,106.39999949499989,2083.5800000000013
ford,2020-07-22,105.76000023099996,98906.0,107.65999948499989,2125.240000000001
ford,2020-07-27,107.02000022099996,100989.0,108.96999942799988,2229.3900000000012
ford,2020-07-30,108.31000018299996,103104.0,110.37999939499988,2483.1900000000014
ford,2020-08-06,109.73000013999996,105204.0,112.55999946199988,4079.1900000000014
ford,2020-08-19,111.35000014499995,108030.0,114.29999947199988,4418.310000000001
ford,2020-08-21,113.00000012099996,111010.0,115.94999944799989,4418.310000000001
ford,2020-08-27,114.52000010199995,114245.0,117.56999945299988,4741.810000000001
ford,2020-09-03,116.06000006399995,117648.0,119.06999945299988,4605.690000000001
ford,2020-09-14,117.51000011199996,121169.0,120.47999941999988,4464.850000000001
ford,2020-09-22,118.88000011699995,124792.0,121.92999946799989,4754.690000000001
ford,2020-09-24,120.26000011199996,128599.0,123.3399994349999,4868.9000000000015
ford,2020-09-30,121.66000008799996,132433.0,124.7499994019999,4907.240000000001
ford,2020-10-07,123.11000013599997,136162.0,126.2299994209999,5019.110000000001
ford,2020-10-14,124.68000018799997,139677.0,127.8499994259999,5194.860000000001
ford,2020-10-20,126.20000016899996,143423.0,129.3999993779999,5307.240000000001
ford,2020-10-26,127.71000015899996,147268.0,130.9299993489999,5384.140000000001
ford,2020-10-30,129.23000013999996,151139.0,132.4699993109999,5461.560000000001
ford,2020-11-04,130.78000009199997,154985.0,134.0399993629999,5538.480000000001
ford,2020-11-10,132.34000003499997,158855.0,135.60999941499992,5577.180000000001
ford,2020-11-12,133.89999997799998,162750.0,137.20999943899992,5732.980000000001
tesla,2018-11-19,1.340000033,373.0,1.389999986,18.650000000000034
tesla,2018-11-27,2.710000038,751.0,2.759999991,18.650000000000034
tesla,2018-11-30,4.070000052,1132.0,4.200000048,49.13000000000005
tesla,2018-12-06,5.420000076,1538.0,5.620000005,77.55000000000001
tesla,2018-12-11,6.830000043,1947.0,7.060000061999999,89.82
tesla,2018-12-13,8.25,2362.0,8.360000013999999,40.02000000000004
tesla,2018-12-31,9.539999962,2780.0,9.700000047,60.920000000000016
tesla,2019-01-04,10.860000013999999,3204.0,11.070000052,82.12000000000006
tesla,2019-01-09,12.230000018999998,3628.0,12.470000028,94.84000000000009
tesla,2019-01-16,13.700000047999998,4032.0,13.930000066,90.80000000000013
tesla,2019-01-22,15.150000095999998,4439.0,15.400000095,98.94000000000011
tesla,2019-01-30,16.610000133999996,4849.0,16.860000133,98.94000000000011
tesla,2019-02-08,18.160000085999997,5235.0,18.430000185,106.66000000000014
tesla,2019-02-12,19.720000028999998,5623.0,20.090000152,145.4600000000002
tesla,2019-02-28,21.340000034,6021.0,21.720000147,149.44000000000023
tesla,2019-03-11,22.899999977,6437.0,23.270000099,145.28000000000014
tesla,2019-03-15,24.419999958000002,6861.0,24.80000007,149.52000000000015
tesla,2019-03-26,25.879999996000002,7305.0,26.270000099,153.9600000000001
tesla,2019-03-29,27.360000015,7746.0,27.810000061,180.42000000000013
tesla,2019-04-08,28.840000034,8205.0,29.340000032,203.37000000000006
tesla,2019-04-11,30.330000044,8677.0,30.860000013,217.53000000000014
tesla,2019-04-16,31.870000005999998,9142.0,32.460000037,245.43000000000012
tesla,2019-04-23,33.450000048999996,9613.0,33.990000008,221.88000000000017
tesla,2019-04-29,34.930000068,10100.0,35.509999989,241.36000000000018
tesla,2019-05-01,36.430000068,10594.0,37.009999989,241.36000000000018
tesla,2019-05-07,37.910000087,11094.0,38.52999997,261.3600000000002
tesla,2019-05-09,39.410000087,11601.0,40.009999989,251.2200000000002
tesla,2019-05-15,40.860000135,12119.0,41.28999996,163.16000000000014
tesla,2019-06-11,42.080000164,12662.0,42.529999970000006,174.02000000000015
tesla,2019-06-20,43.250000121,13238.0,43.69999992700001,174.02000000000015
tesla,2019-07-22,44.320000173,13867.0,44.849999903000004,224.3400000000002
tesla,2019-07-26,45.430000187,14519.0,45.999999879,250.42000000000013
tesla,2019-07-30,46.570000173,15177.0,47.139999865,250.42000000000013
tesla,2019-08-02,47.670000197,15859.0,48.25999987,264.0600000000001
tesla,2019-08-09,48.73000014,16579.0,49.349999903000004,285.66
tesla,2019-08-14,49.830000164000005,17293.0,50.469999908000005,299.94
tesla,2019-08-20,50.93000018800001,18020.0,51.58999991300001,314.47999999999996
tesla,2019-08-23,52.000000240000006,18781.0,52.669999956000005,322.09
tesla,2019-09-03,53.06000018300001,19556.0,53.75999998900001,345.34
tesla,2019-09-05,54.130000235000004,20346.0,54.92999994600001,424.34
tesla,2019-09-09,55.240000249000005,21178.0,56.079999922000006,457.61999999999995
tesla,2019-09-13,56.390000225,22010.0,57.24999987900001,474.26000000000005
tesla,2019-09-20,57.51000023,22879.0,58.399999855000004,500.3300000000001
tesla,2019-09-24,58.630000235000004,23772.0,59.52999985,509.26000000000016
tesla,2019-09-26,59.740000249000005,24681.0,60.649999855000004,518.3500000000001
tesla,2019-09-30,60.740000249000005,25699.0,61.699999807000005,569.2500000000002
tesla,2019-10-03,61.72000026800001,26790.0,62.749999759000005,645.6200000000001
tesla,2019-10-07,62.730000258000004,27924.0,63.76999974,656.9600000000003
tesla,2019-10-09,63.750000239,29058.0,64.809999702,679.6400000000001
tesla,2019-10-11,64.740000249,30249.0,65.839999673,727.2800000000002
tesla,2019-10-15,65.750000239,31464.0,66.89999961599999,788.0300000000002
tesla,2019-10-18,66.750000239,32752.0,67.93999957799998,839.5500000000002
tesla,2019-10-22,67.730000258,34118.0,69.01999962099998,976.1500000000001
tesla,2019-10-25,68.77000022,35537.0,70.08999967299998,1018.72
tesla,2019-11-01,69.790000201,37025.0,71.14999961599997,1078.24
tesla,2019-11-08,70.830000163,38542.0,72.16999959699997,1047.8999999999999
tesla,2019-11-15,71.84000015299999,40074.0,73.17999958699997,1047.8999999999999
tesla,2019-11-20,72.830000163,41637.0,74.17999958699997,1063.53
tesla,2019-12-04,73.84000015299999,43185.0,75.20999955799996,1094.49
tesla,2019-12-09,74.86000013399999,44748.0,76.20999955799996,1063.23
tesla,2019-12-13,75.830000163,46359.0,77.21999954799996,1127.6699999999998
tesla,2019-12-17,76.820000173,48003.0,78.26999949999995,1226.31
tesla,2019-12-24,77.800000192,49764.0,79.26999949999995,1261.53
tesla,2020-01-14,78.920000197,51336.0,80.36999952399995,1230.09
tesla,2020-02-20,80.01000022999999,52923.0,81.44999956699995,1214.22
tesla,2020-02-28,80.980000259,54690.0,82.44999956699995,1267.23
tesla,2020-03-04,81.970000269,56475.0,83.44999956699995,1285.08
tesla,2020-03-10,82.980000259,58242.0,84.47999953799994,1320.4199999999998
tesla,2020-03-18,84.00000023999999,60026.0,85.47999953799994,1284.7399999999998
tesla,2020-03-23,84.99000025,61828.0,86.52999948999994,1392.8599999999997
tesla,2020-03-26,86.01000023099999,63683.0,87.60999953299994,1504.1599999999999
tesla,2020-03-31,87.08000028299999,65556.0,88.72999953799993,1597.8100000000002
tesla,2020-04-03,88.18000030699999,67463.0,89.82999956199993,1597.8100000000002
tesla,2020-04-09,89.27000033999998,69387.0,90.94999956699992,1655.5300000000004
tesla,2020-04-15,90.35000038299998,71382.0,92.05999958099991,1715.3800000000003
tesla,2020-04-17,91.40000033499997,73491.0,93.15999960499991,1820.8300000000006
tesla,2020-04-21,92.46000027799997,75680.0,94.2599996289999,1908.3900000000006
tesla,2020-04-23,93.51000022999996,77973.0,95.2899995999999,1862.5300000000004
tesla,2020-04-29,94.54000020099996,80266.0,96.3499995429999,1931.3200000000004
tesla,2020-05-12,95.64000022499995,82476.0,97.44999956699989,1931.3200000000004
tesla,2020-05-15,96.72000026799995,84727.0,98.53999959999989,1953.8300000000006
tesla,2020-05-27,97.88000023499995,86842.0,99.74999963799989,2059.580000000001
tesla,2020-06-12,99.12000024499996,88906.0,101.01999961899989,2121.500000000001
tesla,2020-06-18,100.45000028799996,90877.0,102.43999957599989,2298.8900000000012
tesla,2020-06-23,101.88000023599996,92834.0,103.8299995619999,2220.610000000001
tesla,2020-06-26,103.26000023099996,94805.0,105.1199995239999,2043.2200000000012
tesla,2020-07-16,104.52000022099996,96823.0,106.39999949499989,2083.5800000000013
tesla,2020-07-22,105.76000023099996,98906.0,107.65999948499989,2125.240000000001
tesla,2020-07-27,107.02000022099996,100989.0,108.96999942799988,2229.3900000000012
tesla,2020-07-30,108.31000018299996,103104.0,110.37999939499988,2483.1900000000014
tesla,2020-08-06,109.73000013999996,105204.0,112.55999946199988,4079.1900000000014
tesla,2020-08-19,111.35000014499995,108030.0,114.29999947199988,4418.310000000001
tesla,2020-08-21,113.00000012099996,111010.0,115.94999944799989,4418.310000000001
tesla,2020-08-27,114.52000010199995,114245.0,117.56999945299988,4741.810000000001
tesla,2020-09-03,116.06000006399995,117648.0,119.06999945299988,4605.690000000001
tesla,2020-09-14,117.51000011199996,121169.0,120.47999941999988,4464.850000000001
tesla,2020-09-22,118.88000011699995,124792.0,121.92999946799989,4754.690000000001
tesla,2020-09-24,120.26000011199996,128599.0,123.3399994349999,4868.9000000000015
tesla,2020-09-30,121.66000008799996,132433.0,124.7499994019999,4907.240000000001
tesla,2020-10-07,123.11000013599997,136162.0,126.2299994209999,5019.110000000001
tesla,2020-10-14,124.68000018799997,139677.0,127.8499994259999,5194.860000000001
tesla,2020-10-20,126.20000016899996,143423.0,129.3999993779999,5307.240000000001
tesla,2020-10-26,127.71000015899996,147268.0,130.9299993489999,5384.140000000001
tesla,2020-10-30,129.23000013999996,151139.0,132.4699993109999,5461.560000000001
tesla,2020-11-04,130.78000009199997,154985.0,134.0399993629999,5538.480000000001
tesla,2020-11-10,132.34000003499997,158855.0,135.60999941499992,5577.180000000001
tesla,2020-11-12,133.89999997799998,162750.0,137.20999943899992,5732.980000000001
